Question,Answer
Who acted as Nancy Lincoln in the movie 'The Better Angels'?,Brit Marling
Who acted as Det. Lt. Eddy Malone in the movie 'The Thomas Crown Affair'?,Paul Burke
Who acted as Karlsson in the movie 'Clown'?,Peter Stormare
Who acted as Jenny Scott in the movie 'Shattered'?,Joanne Whalley
Who acted as Aldous Snow in the movie 'Get Him to the Greek'?,Russell Brand
Who acted as Captain Jonas in the movie 'Mega Piranha'?,Clint Browning
Who acted as Luis in the movie 'Crazy/Beautiful'?,Herman Osorio
Who acted as Nicolay in the movie 'I Spit on Your Grave 2'?,Aleksandar Aleksiev
Who acted as Kitai Raige in the movie 'After Earth'?,Jaden Smith
Who acted as Kim Jong-un in the movie 'The Interview'?,Randall Park
Who acted as Ben House in the movie 'Rapture-Palooza'?,John Francis Daley
Who acted as Joey Santino in the movie 'Love & Sex'?,Josh Hopkins
Who acted as Arseniy / Arsus in the movie 'Guardians'?,Anton Pampushnyy
Who acted as Ebba in the movie 'Force Majeure'?,Lisa Loven Kongsli
Who acted as Dr. Kate McCrae in the movie 'The Black Hole'?,Yvette Mimieux
Who acted as Nikki in the movie 'Spun'?,Brittany Murphy
Who acted as Stephanie LaFarge in the movie 'Project Nim'?,Reagan Leonard
Who acted as Arthur Kirkland in the movie '...And Justice for All'?,Al Pacino
Who acted as Casey McNeil in the movie 'About Last Night'?,Christopher McDonald
Who acted as Jack Starks in the movie 'The Jacket'?,Adrien Brody
Who acted as Elena in the movie 'The Collection'?,Emma Fitzpatrick
Who acted as Oli in the movie 'The Heroes of Telemark'?,Alan Howard
Who acted as Rachel Brockden in the movie 'Reasonable Doubt'?,Erin Karpluk
Who acted as Jim Berkey in the movie 'Inside Llewyn Davis'?,Justin Timberlake
Who acted as Ginette la clocharde in the movie 'The Visitors'?,Marie-Anne Chazel
Who acted as Buck Williams in the movie 'Left Behind'?,Chad Michael Murray
Who acted as Marvin in the movie 'Bird on a Wire'?,Harry Caesar
Who acted as Stacy in the movie 'Vamps'?,Krysten Ritter
Who acted as Eddie in the movie 'Beethoven's Big Break'?,Jonathan Silverman
Who acted as Julien Doinel in the movie 'The 400 Blows'?,Albert Rémy
Who acted as Bobby Benson in the movie 'The Day the Earth Stood Still'?,Billy Gray
Who acted as A Friend in the movie 'The Aviator's Wife'?,Philippe Caroit
Who acted as Jack in the movie 'Wild Hogs'?,Ray Liotta
Who acted as King Hyperion in the movie 'Immortals'?,Mickey Rourke
Who acted as Virginia Block in the movie 'White Water Summer'?,Caroline McWilliams
Who acted as Brooke Morrison in the movie 'Masquerade'?,Kim Cattrall
Who acted as Secretary at Ford Motor Company in the movie 'Flubber'?,Nancy Olson
Who acted as Big Mike in the movie 'The Punisher: Dirty Laundry'?,Ron Perlman
Who acted as Liam Devlin in the movie 'The Eagle Has Landed'?,Donald Sutherland
Who acted as Jean Bonnet in the movie 'Au Revoir les Enfants'?,Raphael Fejtö
Who acted as Spiros Papadopoulos in the movie 'Papadopoulos & Sons'?,Georges Corraface
Who acted as Parker Wilson in the movie 'Hachi: A Dog's Tale'?,Richard Gere
Who acted as Spencer in the movie 'Good Neighbours'?,Scott Speedman
Who acted as Mike Kiernan in the movie 'Broken'?,Cillian Murphy
Who acted as France Gall in the movie 'My Way'?,Joséphine Japy
Who acted as Kelsey Walker in the movie 'The Factory'?,Jennifer Carpenter
Who acted as Kung Fury in the movie 'Kung Fury'?,David Sandberg
Who acted as Ermine Jung in the movie 'Blow'?,Rachel Griffiths
Who acted as Major Mint in the movie 'Barbie in the Nutcracker'?,Christopher Gaze
Who acted as Larry Gray in the movie 'Closer'?,Clive Owen
Who acted as Mel Rosen in the movie 'Auto Focus'?,Ed Begley Jr.
Who acted as Corky in the movie 'Bound'?,Gina Gershon
Who acted as Ghino in the movie 'Virgin Territory'?,Ryan Cartwright
Who acted as Agnes in the movie 'Cries and Whispers'?,Harriet Andersson
Who acted as Maggie James in the movie 'Poseidon'?,Jacinda Barrett
Who acted as Margo in the movie 'The Outsider'?,Shannon Elizabeth
Who acted as Tom in the movie 'Mr. Wonderful'?,William Hurt
Who acted as Jack Kerouac in the movie 'Kill Your Darlings'?,Jack Huston
Who acted as Walter Adams in the movie 'Addams Family Reunion'?,Ray Walston
Who acted as Beth McIntyre in the movie 'John Tucker Must Die'?,Sophia Bush
Who acted as Mrs. Jordan in the movie 'A Nightmare on Elm Street 5: The Dream Child'?,Valorie Armstrong
Who acted as Justin - DEVGRU in the movie 'Zero Dark Thirty'?,Chris Pratt
Who acted as Michel Ronsard in the movie 'Let It Rain'?,Jean-Pierre Bacri
Who acted as Merv in the movie 'Dadnapped'?,Jason Earles
Who acted as Kadokawa in the movie 'City of Life and Death'?,Hideo Nakaizumi
Who acted as Maj. Bobby Chavez in the movie 'Delta Force 2: The Colombian Connection'?,Paul Perri
Who acted as Bai Ling in the movie '2046'?,Zhang Ziyi
Who acted as Cheryl Ann Wayne in the movie 'Nothing in Common'?,Sela Ward
Who acted as Howard Saint in the movie 'The Punisher'?,John Travolta
Who acted as Archy Hamilton in the movie 'Gallipoli'?,Mark Lee
Who acted as Gabriel in the movie 'Men & Chicken'?,David Dencik
Who acted as Terry in the movie 'Ripley's Game'?,Uwe Mansshardt
Who acted as Emma in the movie 'Extinction'?,Valeria Vereau
Who acted as Vera Baker in the movie 'Rat Race'?,Whoopi Goldberg
Who acted as Cooper in the movie 'Dead Man on Campus'?,Mark-Paul Gosselaar
Who acted as Skaketti in the movie 'Lila & Eve'?,Andre Royo
Who acted as Mariko in the movie 'Ju-on: The Grudge'?,Kayoko Shibata
Who acted as Femme du Stalker in the movie 'Stalker'?,Alisa Freyndlikh
Who acted as Ethan Renner in the movie '3 Days to Kill'?,Kevin Costner
Who acted as Peter Vincent in the movie 'Fright Night'?,David Tennant
Who acted as Lynn in the movie 'Semi-Pro'?,Maura Tierney
Who acted as Nana in the movie 'The Visit'?,Deanna Dunagan
Who acted as Ruth Minsky in the movie 'Hello I Must Be Going'?,Blythe Danner
Who acted as Miyuki Yoshida in the movie 'Cargo'?,Yangzom Brauen
Who acted as Lorraine in the movie 'Letters to Juliet'?,Marcia DeBonis
Who acted as Sister Lily in the movie 'Black Moon'?,Alexandra Stewart
Who acted as Sheila in the movie 'The Caveman's Valentine'?,Tamara Tunie
Who acted as Sena in the movie 'Thesis'?,Nieves Herranz
Who acted as Konrad Meinike in the movie 'The Stranger'?,Konstantin Shayne
Who acted as Sgt. Jack Colt in the movie 'National Lampoon's Loaded Weapon 1'?,Emilio Estevez
Who acted as Doris in the movie 'The Beguiled'?,Darleen Carr
Who acted as Alice Klieg in the movie 'Welcome to Me'?,Kristen Wiig
Who acted as Paul Javal in the movie 'Contempt'?,Michel Piccoli
Who acted as Grandpa Joe in the movie 'Willy Wonka & the Chocolate Factory'?,Jack Albertson
Who acted as Dr. Sandra Fleming in the movie 'Universal Soldier: Regeneration'?,Emily Joyce
Who acted as Gil Rathbinn in the movie 'Hit & Run'?,Michael Rosenbaum
Who acted as Mr. Grey in the movie 'Resident Evil'?,Ryan McCluskey
Who acted as Carly Norris in the movie 'Sliver'?,Sharon Stone
Who acted as Rozalin Focker in the movie 'Little Fockers'?,Barbra Streisand
Who acted as Susan in the movie 'The Servant'?,Wendy Craig
Who acted as Jo in the movie 'Mean Girls 2'?,Meaghan Jette Martin
Who acted as Nikki Swayze in the movie 'Lottery Ticket'?,Teairra Mari
Who acted as Tipper in the movie 'What Happens in Vegas'?,Lake Bell
Who acted as Hector in the movie 'Havoc'?,Freddy Rodríguez
Who acted as Midnite in the movie 'Constantine'?,Djimon Hounsou
Who acted as Ring Shelton in the movie 'Appaloosa'?,Lance Henriksen
Who acted as Jodi Chang in the movie 'Tremors 3: Back to Perfection'?,Susan Chuang
Who acted as Susanna in the movie 'The Way Way Back'?,AnnaSophia Robb
Who acted as Summer in the movie 'Napoleon Dynamite'?,Haylie Duff
Who acted as Bob in the movie 'Outsourced'?,Larry Pine
Who acted as Walter in the movie 'Zathura: A Space Adventure'?,Josh Hutcherson
Who acted as Dr. Kosevich in the movie 'Nine Months'?,Robin Williams
Who acted as Maria Merryweather in the movie 'The Secret of Moonacre'?,Dakota Blue Richards
Who acted as Sara Evers in the movie 'The Haunted Mansion'?,Marsha Thomason
Who acted as Isabel Plaza Caballero in the movie 'Live Flesh'?,Penélope Cruz
Who acted as John Gustafson in the movie 'Grumpy Old Men'?,Jack Lemmon
Who acted as Dorothy Winters in the movie 'Michael'?,Andie MacDowell
Who acted as Ricardo in the movie 'Vibes'?,Darryl Henriques
Who acted as Tackleberry in the movie 'Police Academy 2: Their First Assignment'?,David Graf
Who acted as Michael Garibaldi in the movie 'Babylon 5: A Call to Arms'?,Jerry Doyle
Who acted as Big Dave Brewster in the movie 'The Man Who Wasn't There'?,James Gandolfini
Who acted as Kathryn Bolkovac in the movie 'The Whistleblower'?,Rachel Weisz
Who acted as Baker in the movie 'The Good Guy'?,Colin Egglesfield
Who acted as Simone in the movie 'A Shot in the Dark'?,Moira Redmond
Who acted as Tommy Anderson in the movie 'Center Stage : Turn It Up'?,Kenny Wormald
Who acted as Rae in the movie 'Black Snake Moan'?,Christina Ricci
Who acted as Dave in the movie 'Alvin and the Chipmunks: The Squeakquel'?,Jason Lee
Who acted as Little Ann Sliger in the movie 'Texas Killing Fields'?,Chloë Grace Moretz
Who acted as Nina Banks in the movie 'Father of the Bride Part II'?,Diane Keaton
Who acted as Henry in the movie 'Womb'?,István Lénárt
Who acted as Milton Dammers in the movie 'The Frighteners'?,Jeffrey Combs
Who acted as Vanessa Walling in the movie 'The Oranges'?,Alia Shawkat
Who acted as Stephen Lake in the movie 'Bunny Lake Is Missing'?,Keir Dullea
Who acted as Stewart Swinton in the movie 'Wolf'?,James Spader
Who acted as Lian-Chu in the movie 'Dragon Hunters'?,Vincent Lindon
Who acted as Birdie in the movie 'Battle For SkyArk'?,Riley Jane
Who acted as Gabriel Mercer in the movie 'Reindeer Games'?,Gary Sinise
Who acted as Vera Clyde in the movie 'Ten Little Indians'?,Elke Sommer
Who acted as Allie Keys in the movie 'Taken'?,Dakota Fanning
Who acted as Tony Ravello in the movie 'Diary of the Dead'?,Shawn Roberts
Who acted as Harold in the movie 'Evil Dead'?,Jim McLarty
Who acted as Pvt. Rivera in the movie 'A Walk in the Sun'?,Richard Conte
Who acted as Claire in the movie 'Go'?,Katie Holmes
Who acted as Adam Devlin in the movie 'Old Dogs'?,Justin Long
Who acted as Nasthalthia Luthor in the movie 'All Star Superman'?,Linda Cardellini
Who acted as Bruno in the movie 'Sister'?,Yann Trégouët
Who acted as Misato Katsuragi in the movie 'Evangelion: 2.0 You Can (Not) Advance'?,Kotono Mitsuishi
Who acted as Carletto in the movie 'A.C.A.B.: All Cops Are Bastards'?,Andrea Sartoretti
Who acted as Janice Guerrero in the movie 'Bounce'?,Jennifer Grey
Who acted as Hikaru Sulu in the movie 'Star Trek III: The Search for Spock'?,George Takei
Who acted as Sergeant Dominick Benti in the movie 'Narrow Margin'?,M. Emmet Walsh
Who acted as Capitán Bolivar Rojas in the movie 'Chronicles'?,Camilo Luzuriaga
Who acted as Marie in the movie 'Sexual Chronicles of a French Family'?,Leïla Denio
Who acted as Dr. Caligari in the movie 'The Cabinet of Dr. Caligari'?,Werner Krauss
Who acted as Darcie in the movie 'Old School'?,Elisha Cuthbert
Who acted as Noah in the movie 'Loser'?,Jimmi Simpson
Who acted as Georges in the movie 'Young & Beautiful'?,Johan Leysen
Who acted as Jasjeet in the movie 'Hachi: A Dog's Tale'?,Erick Avari
Who acted as Alice in the movie 'Berlin Calling'?,Megan Gay
Who acted as Serena in the movie 'Terminator Salvation'?,Helena Bonham Carter
Who acted as Kane in the movie 'Alien Raiders'?,Rockmond Dunbar
Who acted as Samuel Harvey Graynamore in the movie 'Joe Versus the Volcano'?,Lloyd Bridges
Who acted as Clayton in the movie 'Beneath the Harvest Sky'?,Aidan Gillen
Who acted as Salvatore bambino in the movie 'Cinema Paradiso'?,Salvatore Cascio
Who acted as Jesse Weiland in the movie 'Bad Country'?,Matt Dillon
Who acted as Harvey in the movie 'Trading Places'?,Jim Belushi
Who acted as Kevin Swain in the movie 'The Bank Job'?,Stephen Campbell Moore
Who acted as Doug Walker in the movie '13Hrs'?,Joshua Bowman
Who acted as Aurora in the movie 'Babylon A.D.'?,Mélanie Thierry
Who acted as Kei Kishimoto in the movie 'Gantz: Perfect Answer'?,Natsuna Watanabe
Who acted as Tomoko Oishi in the movie 'Ringu'?,Yuko Takeuchi
Who acted as Alexandra Cabot in the movie 'Josie and the Pussycats'?,Missi Pyle
Who acted as Amy Stanton in the movie 'The Killer Inside Me'?,Kate Hudson
Who acted as Kaden in the movie 'Arena'?,Johnny Messner
Who acted as Kelly Foster in the movie 'Virus'?,Jamie Lee Curtis
Who acted as Stewart Graff in the movie 'Earthquake'?,Charlton Heston
Who acted as Robby Krieger in the movie 'The Doors'?,Frank Whaley
Who acted as Agnes Stouffer in the movie 'Wild America'?,Frances Fisher
Who acted as Noel in the movie 'Byzantium'?,Daniel Mays
Who acted as Bones Conway in the movie 'In the Army Now'?,Pauly Shore
Who acted as Lana in the movie 'The Mating Habits of the Earthbound Human'?,Lisa Rotondi
Who acted as Bill / Albrecht in the movie 'The Adventures of Baron Munchausen'?,Winston Dennis
Who acted as The Fox in the movie 'The Little Prince'?,Gene Wilder
Who acted as Maya Awasthi in the movie 'Taare Zameen Par'?,Tisca Chopra
Who acted as Peter in the movie 'Son of God'?,Darwin Shaw
Who acted as Maggie Beauford in the movie 'Lawless'?,Jessica Chastain
Who acted as Paulette Rebchuck in the movie 'Grease 2'?,Lorna Luft
Who acted as Mr. Lutz in the movie 'Zenon: Girl of the 21st Century'?,Bob Bancroft
Who acted as Twilight Sparkle in the movie 'My Little Pony: Equestria Girls'?,Tara Strong
Who acted as Virgil Cane in the movie 'An Innocent Man'?,F. Murray Abraham
Who acted as Sylvia in the movie 'Harsh Times'?,Eva Longoria
Who acted as Gerry in the movie 'Very Good Girls'?,Elizabeth Olsen
Who acted as Danica Talos in the movie 'Blade: Trinity'?,Parker Posey
Who acted as Rachel in the movie 'Spiders'?,Patrick Muldoon
Who acted as Raymond Crowe in the movie 'Sinners and Saints'?,Costas Mandylor
Who acted as Casey in the movie '21 & Over'?,Skylar Astin
Who acted as Paul Dellenbach in the movie 'Renaissance'?,Jonathan Pryce
Who acted as Grey in the movie 'The Numbers Station'?,Liam Cunningham
Who acted as Kale in the movie 'Unearthed'?,Luke Goss
Who acted as Jess in the movie 'Meet Bill'?,Elizabeth Banks
Who acted as Ashley in the movie 'Simon Says'?,Kelly Vitz
Who acted as Neto in the movie 'Elite Squad'?,Caio Junqueira
Who acted as Haley Graham in the movie 'Stick It'?,Missy Peregrym
Who acted as Ashley in the movie 'Welcome to the Jungle'?,Bianca Bree
Who acted as M in the movie 'GoldenEye'?,Judi Dench
Who acted as Donald Falk in the movie 'Poison Ivy II: Lily'?,Xander Berkeley
Who acted as Richard Thomas Partridge in the movie 'Into the White'?,Lachlan Nieboer
Who acted as Clan Techie in the movie 'Dredd'?,Domhnall Gleeson
Who acted as Zara in the movie 'Purge'?,Amanda Pilke
Who acted as Hector in the movie 'Hector and the Search for Happiness'?,Simon Pegg
Who acted as Lewis in the movie 'Cry_Wolf'?,Paul James
Who acted as Jessie in the movie 'Thief'?,Tuesday Weld
Who acted as Ann Ward in the movie 'The Haunted Palace'?,Debra Paget
Who acted as Winnie Eddington in the movie 'Einstein and Eddington'?,Rebecca Hall
Who acted as Warden Hennessey in the movie 'Death Race'?,Joan Allen
Who acted as Adam in the movie 'Loser'?,Zak Orth
Who acted as Sara in the movie 'Sweet November'?,Charlize Theron
Who acted as Havershaw in the movie 'The Love Bug'?,Joe Flynn
Who acted as Scotty in the movie 'The Mudge Boy'?,Ryan Donowho
Who acted as Annie Laird in the movie 'The Juror'?,Demi Moore
Who acted as Michael Jennings in the movie 'On Deadly Ground'?,Michael Caine
Who acted as Brandon in the movie 'Sweet November'?,Michael Rosenbaum
Who acted as 1st Rapist in the movie 'Ms .45'?,Abel Ferrara
Who acted as Kate Armstrong in the movie 'Just Cause'?,Scarlett Johansson
Who acted as Howie Blitzer in the movie 'L.I.E.'?,Paul Dano
Who acted as Flora in the movie 'The Shop Around the Corner'?,Sara Haden
Who acted as Colonel Mekum in the movie 'Soldier'?,Jason Isaacs
Who acted as Spy in the movie 'Russian Ark'?,Leonid Mozgovoy
Who acted as Daniel Barenboim in the movie 'Hilary and Jackie'?,James Frain
Who acted as Dr. McCormick in the movie 'Critters 4'?,Anne Ramsay
Who acted as Eric in the movie 'Evil Dead'?,Lou Taylor Pucci
Who acted as Deb in the movie 'Weird Science'?,Suzanne Snyder
Who acted as Linus Caldwell in the movie 'Ocean's Eleven'?,Matt Damon
Who acted as Taj Mahal Badalandabad in the movie 'National Lampoon’s Van Wilder'?,Kal Penn
Who acted as Elaine Robinson in the movie 'The Graduate'?,Katharine Ross
Who acted as Kate in the movie 'Hallam Foe'?,Sophia Myles
Who acted as Maybelle in the movie 'The Broken Circle Breakdown'?,Nell Cattrysse
Who acted as Martine Love in the movie 'The Bank Job'?,Saffron Burrows
Who acted as Pussy Galore in the movie 'Goldfinger'?,Honor Blackman
Who acted as Benjie Weiss in the movie 'Maps to the Stars'?,Evan Bird
Who acted as Becky Barnes in the movie 'The Sorcerer's Apprentice'?,Teresa Palmer
Who acted as Jenny Hayden in the movie 'Starman'?,Karen Allen
Who acted as Fletcher in the movie 'Stolen'?,Mark Valley
Who acted as Julio in the movie 'Elysium'?,Diego Luna
Who acted as Sandra in the movie 'Naked'?,Claire Skinner
Who acted as Bryce #8 in the movie 'Faces in the Crowd'?,Adam Harrington
Who acted as Jesse Wilson in the movie 'Return of the Living Dead Part II'?,Michael Kenworthy
Who acted as Charlie Allnut in the movie 'The African Queen'?,Humphrey Bogart
Who acted as Will in the movie 'Honeymoon'?,Ben Huber
Who acted as Franck in the movie 'Mea Culpa'?,Gilles Lellouche
Who acted as Jade in the movie 'Sacrifice'?,Lara Daans
Who acted as Justin in the movie 'Ellie Parker'?,Mark Pellegrino
Who acted as Nelson Hart in the movie '2012: Ice Age'?,Nick Afanasiev
